[2024-12-27T11:38:57.291+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T11:38:57.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.782+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-27T11:38:57.818+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_collection_page> on 2024-12-27 11:38:32.797674+00:00
[2024-12-27T11:38:57.834+0000] {standard_task_runner.py:72} INFO - Started process 758 to run task
[2024-12-27T11:38:57.842+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_collection_page', 'manual__2024-12-27T11:38:32.797674+00:00', '--job-id', '63', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpp85qsqdg']
[2024-12-27T11:38:57.847+0000] {standard_task_runner.py:105} INFO - Job 63: Subtask parse_collection_page
[2024-12-27T11:38:58.050+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [running]> on host 1712831d7ea4
[2024-12-27T11:38:58.342+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_collection_page' AIRFLOW_CTX_EXECUTION_DATE='2024-12-27T11:38:32.797674+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-27T11:38:32.797674+00:00'
[2024-12-27T11:38:58.347+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-27T11:38:58.513+0000] {parse.py:68} INFO - Row number: 0 in collection page
[2024-12-27T11:38:58.515+0000] {parse.py:68} INFO - Row number: 1 in collection page
[2024-12-27T11:38:58.516+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 1
[2024-12-27T11:38:58.518+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 1
[2024-12-27T11:38:58.520+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 1
[2024-12-27T11:38:58.522+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 1
[2024-12-27T11:38:58.524+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 1
[2024-12-27T11:38:58.525+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 1
[2024-12-27T11:38:58.526+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 1
[2024-12-27T11:38:58.528+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 1
[2024-12-27T11:38:58.529+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 1
[2024-12-27T11:38:58.531+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 1
[2024-12-27T11:38:58.533+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 1
[2024-12-27T11:38:58.534+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 1
[2024-12-27T11:38:58.535+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 1
[2024-12-27T11:38:58.537+0000] {parse.py:68} INFO - Row number: 2 in collection page
[2024-12-27T11:38:58.539+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 2
[2024-12-27T11:38:58.541+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 2
[2024-12-27T11:38:58.542+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 2
[2024-12-27T11:38:58.544+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 2
[2024-12-27T11:38:58.546+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 2
[2024-12-27T11:38:58.548+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 2
[2024-12-27T11:38:58.549+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 2
[2024-12-27T11:38:58.551+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 2
[2024-12-27T11:38:58.552+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 2
[2024-12-27T11:38:58.554+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 2
