[2024-12-28T16:21:49.165+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-28T16:21:51.728+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.760+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.762+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-28T16:21:51.829+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_genre> on 2024-12-27 11:38:32.797674+00:00
[2024-12-28T16:21:51.877+0000] {standard_task_runner.py:72} INFO - Started process 15691 to run task
[2024-12-28T16:21:51.980+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_genre', 'manual__2024-12-27T11:38:32.797674+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpwpifyqvy']
[2024-12-28T16:21:52.094+0000] {standard_task_runner.py:105} INFO - Job 100: Subtask parse_genre
[2024-12-28T16:21:52.511+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [running]> on host e0a3add0f1ca
[2024-12-28T16:21:52.886+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_genre' AIRFLOW_CTX_EXECUTION_DATE='2024-12-27T11:38:32.797674+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-27T11:38:32.797674+00:00'
[2024-12-28T16:21:52.892+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-28T16:21:58.087+0000] {parse.py:332} INFO - Iteration: 0 and movie_id: tt13186482
[2024-12-28T16:21:59.329+0000] {parse.py:332} INFO - Iteration: 1 and movie_id: tt13186482
[2024-12-28T16:22:00.745+0000] {parse.py:332} INFO - Iteration: 2 and movie_id: tt13186482
[2024-12-28T16:22:01.824+0000] {parse.py:332} INFO - Iteration: 3 and movie_id: tt13186482
[2024-12-28T16:22:03.213+0000] {parse.py:332} INFO - Iteration: 4 and movie_id: tt13186482
[2024-12-28T16:22:04.285+0000] {parse.py:332} INFO - Iteration: 5 and movie_id: tt13186482
[2024-12-28T16:22:05.349+0000] {parse.py:332} INFO - Iteration: 6 and movie_id: tt13186482
[2024-12-28T16:22:06.532+0000] {parse.py:332} INFO - Iteration: 7 and movie_id: tt13186482
[2024-12-28T16:22:07.667+0000] {parse.py:332} INFO - Iteration: 8 and movie_id: tt5040012
[2024-12-28T16:22:09.297+0000] {parse.py:332} INFO - Iteration: 9 and movie_id: tt5040012
[2024-12-28T16:22:10.137+0000] {parse.py:332} INFO - Iteration: 10 and movie_id: tt5040012
[2024-12-28T16:22:11.274+0000] {parse.py:332} INFO - Iteration: 11 and movie_id: tt5040012
[2024-12-28T16:22:12.105+0000] {parse.py:332} INFO - Iteration: 12 and movie_id: tt5040012
[2024-12-28T16:22:13.194+0000] {parse.py:332} INFO - Iteration: 13 and movie_id: tt5040012
[2024-12-28T16:22:14.021+0000] {parse.py:332} INFO - Iteration: 14 and movie_id: tt18259086
[2024-12-28T16:22:15.003+0000] {parse.py:332} INFO - Iteration: 15 and movie_id: tt18259086
[2024-12-28T16:22:15.778+0000] {parse.py:332} INFO - Iteration: 16 and movie_id: tt18259086
[2024-12-28T16:22:16.832+0000] {parse.py:332} INFO - Iteration: 17 and movie_id: tt18259086
[2024-12-28T16:22:17.700+0000] {parse.py:332} INFO - Iteration: 18 and movie_id: tt18259086
[2024-12-28T16:22:19.082+0000] {parse.py:332} INFO - Iteration: 19 and movie_id: tt18259086
[2024-12-28T16:22:20.230+0000] {parse.py:332} INFO - Iteration: 20 and movie_id: tt18259086
[2024-12-28T16:22:21.582+0000] {parse.py:332} INFO - Iteration: 21 and movie_id: tt18259086
[2024-12-28T16:22:22.871+0000] {parse.py:332} INFO - Iteration: 22 and movie_id: tt18259086
[2024-12-28T16:22:23.772+0000] {parse.py:332} INFO - Iteration: 23 and movie_id: tt18259086
[2024-12-28T16:22:24.824+0000] {parse.py:332} INFO - Iteration: 24 and movie_id: tt11563598
