[2024-12-27T16:35:14.806+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T16:35:17.745+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.scrape_filmmakers manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T16:35:17.877+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.scrape_filmmakers manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T16:35:17.891+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-27T16:35:17.986+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_filmmakers> on 2024-12-27 11:38:32.797674+00:00
[2024-12-27T16:35:18.056+0000] {standard_task_runner.py:72} INFO - Started process 267 to run task
[2024-12-27T16:35:18.091+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'scrape_filmmakers', 'manual__2024-12-27T11:38:32.797674+00:00', '--job-id', '78', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpqva4lkds']
[2024-12-27T16:35:18.123+0000] {standard_task_runner.py:105} INFO - Job 78: Subtask scrape_filmmakers
[2024-12-27T16:35:19.078+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.scrape_filmmakers manual__2024-12-27T11:38:32.797674+00:00 [running]> on host a437d9ca329c
[2024-12-27T16:35:19.985+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='scrape_filmmakers' AIRFLOW_CTX_EXECUTION_DATE='2024-12-27T11:38:32.797674+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-27T11:38:32.797674+00:00'
[2024-12-27T16:35:19.991+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-27T16:35:42.517+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 0 for movie_id : tt13186482 and filmmaker_id: nm1503575
[2024-12-27T16:36:22.348+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 1 for movie_id : tt13186482 and filmmaker_id: nm0622288
[2024-12-27T16:37:06.330+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 2 for movie_id : tt13186482 and filmmaker_id: nm0941314
[2024-12-27T16:37:47.872+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 3 for movie_id : tt13186482 and filmmaker_id: nm0575293
[2024-12-27T16:38:19.664+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 4 for movie_id : tt13186482 and filmmaker_id: nm7543974
[2024-12-27T16:38:47.048+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 5 for movie_id : tt13186482 and filmmaker_id: nm5123156
[2024-12-27T16:39:20.092+0000] {extract.py:151} INFO - movie iteration 0 and filmamker iteration 6 for movie_id : tt13186482 and filmmaker_id: nm2274707
[2024-12-27T16:39:54.934+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 0 for movie_id : tt5040012 and filmmaker_id: nm3211470
[2024-12-27T16:40:17.527+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 1 for movie_id : tt5040012 and filmmaker_id: nm3211470
[2024-12-27T16:40:51.729+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 2 for movie_id : tt5040012 and filmmaker_id: nm0301961
[2024-12-27T16:41:16.818+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 3 for movie_id : tt5040012 and filmmaker_id: nm0831290
[2024-12-27T16:41:48.779+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 4 for movie_id : tt5040012 and filmmaker_id: nm6675440
[2024-12-27T16:42:23.666+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 5 for movie_id : tt5040012 and filmmaker_id: nm0396558
[2024-12-27T16:43:00.021+0000] {extract.py:151} INFO - movie iteration 1 and filmamker iteration 6 for movie_id : tt5040012 and filmmaker_id: nm0803889
[2024-12-27T16:43:34.394+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 0 for movie_id : tt18259086 and filmmaker_id: nm1733778
[2024-12-27T16:44:08.938+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 1 for movie_id : tt18259086 and filmmaker_id: nm1352459
[2024-12-27T16:44:30.574+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 2 for movie_id : tt18259086 and filmmaker_id: nm1351254
[2024-12-27T16:44:56.803+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 3 for movie_id : tt18259086 and filmmaker_id: nm4465847
[2024-12-27T16:45:22.256+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 4 for movie_id : tt18259086 and filmmaker_id: nm0000120
[2024-12-27T16:45:52.484+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 5 for movie_id : tt18259086 and filmmaker_id: nm2355635
[2024-12-27T16:46:31.555+0000] {extract.py:151} INFO - movie iteration 2 and filmamker iteration 6 for movie_id : tt18259086 and filmmaker_id: nm0000206
[2024-12-27T16:47:06.587+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 0 for movie_id : tt11563598 and filmmaker_id: nm0003506
[2024-12-27T16:47:41.168+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 1 for movie_id : tt11563598 and filmmaker_id: nm0003506
[2024-12-27T16:48:15.186+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 2 for movie_id : tt11563598 and filmmaker_id: nm0168379
[2024-12-27T16:48:39.580+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 3 for movie_id : tt11563598 and filmmaker_id: nm2374778
[2024-12-27T16:48:58.315+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 4 for movie_id : tt11563598 and filmmaker_id: nm3154303
[2024-12-27T16:49:23.287+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 5 for movie_id : tt11563598 and filmmaker_id: nm0001570
[2024-12-27T16:49:49.610+0000] {extract.py:151} INFO - movie iteration 3 and filmamker iteration 6 for movie_id : tt11563598 and filmmaker_id: nm1102577
[2024-12-27T16:50:17.420+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 0 for movie_id : tt1262426 and filmmaker_id: nm0160840
[2024-12-27T16:50:54.857+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 1 for movie_id : tt1262426 and filmmaker_id: nm0392848
[2024-12-27T16:51:19.129+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 2 for movie_id : tt1262426 and filmmaker_id: nm1401416
[2024-12-27T16:51:43.925+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 3 for movie_id : tt1262426 and filmmaker_id: nm0536579
[2024-12-27T16:52:02.777+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 4 for movie_id : tt1262426 and filmmaker_id: nm7248827
[2024-12-27T16:52:26.420+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 5 for movie_id : tt1262426 and filmmaker_id: nm3812858
[2024-12-27T16:52:47.436+0000] {extract.py:151} INFO - movie iteration 4 and filmamker iteration 6 for movie_id : tt1262426 and filmmaker_id: nm0000156
[2024-12-27T16:53:18.486+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 0 for movie_id : tt13622970 and filmmaker_id: nm3989471
[2024-12-27T16:53:53.559+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 1 for movie_id : tt13622970 and filmmaker_id: nm2911364
[2024-12-27T16:54:22.980+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 2 for movie_id : tt13622970 and filmmaker_id: nm2834849
[2024-12-27T16:54:57.361+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 3 for movie_id : tt13622970 and filmmaker_id: nm1158544
[2024-12-27T16:55:27.631+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 4 for movie_id : tt13622970 and filmmaker_id: nm2834849
[2024-12-27T16:55:56.427+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 5 for movie_id : tt13622970 and filmmaker_id: nm2414279
[2024-12-27T16:56:19.634+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 6 for movie_id : tt13622970 and filmmaker_id: nm7635388
[2024-12-27T16:56:45.352+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 7 for movie_id : tt13622970 and filmmaker_id: nm0425005
[2024-12-27T16:57:19.266+0000] {extract.py:151} INFO - movie iteration 5 and filmamker iteration 8 for movie_id : tt13622970 and filmmaker_id: nm12533314
[2024-12-27T16:57:42.984+0000] {extract.py:151} INFO - movie iteration 6 and filmamker iteration 0 for movie_id : tt6133444 and filmmaker_id: nm1121126
[2024-12-27T16:58:11.752+0000] {extract.py:151} INFO - movie iteration 6 and filmamker iteration 1 for movie_id : tt6133444 and filmmaker_id: nm1503575
[2024-12-27T16:58:37.241+0000] {extract.py:151} INFO - movie iteration 6 and filmamker iteration 2 for movie_id : tt6133444 and filmmaker_id: nm3629113
[2024-12-27T16:59:06.162+0000] {extract.py:151} INFO - movie iteration 6 and filmamker iteration 3 for movie_id : tt6133444 and filmmaker_id: nm3109964
[2024-12-27T16:59:38.155+0000] {extract.py:151} INFO - movie iteration 6 and filmamker iteration 4 for movie_id : tt6133444 and filmmaker_id: nm12380497
[2024-12-27T17:00:03.219+0000] {extract.py:151} INFO - movie iteration 7 and filmamker iteration 0 for movie_id : tt30057084 and filmmaker_id: nm0717603
[2024-12-27T17:00:40.428+0000] {extract.py:151} INFO - movie iteration 7 and filmamker iteration 1 for movie_id : tt30057084 and filmmaker_id: nm0717603
[2024-12-27T17:01:21.661+0000] {extract.py:151} INFO - movie iteration 7 and filmamker iteration 2 for movie_id : tt30057084 and filmmaker_id: nm0000173
[2024-12-27T17:02:01.095+0000] {job.py:229} INFO - Heartbeat recovered after 31.18 seconds
[2024-12-27T17:02:31.204+0000] {extract.py:151} INFO - movie iteration 7 and filmamker iteration 3 for movie_id : tt30057084 and filmmaker_id: nm6170168
[2024-12-27T17:02:48.655+0000] {extract.py:151} INFO - movie iteration 7 and filmamker iteration 4 for movie_id : tt30057084 and filmmaker_id: nm0000104
[2024-12-27T17:03:12.182+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 0 for movie_id : tt9218128 and filmmaker_id: nm0000631
[2024-12-27T17:03:38.485+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 1 for movie_id : tt9218128 and filmmaker_id: nm0291905
[2024-12-27T17:03:56.355+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 2 for movie_id : tt9218128 and filmmaker_id: nm0185976
[2024-12-27T17:04:16.612+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 3 for movie_id : tt9218128 and filmmaker_id: nm0769227
[2024-12-27T17:04:35.745+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 4 for movie_id : tt9218128 and filmmaker_id: nm8958770
[2024-12-27T17:04:53.677+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 5 for movie_id : tt9218128 and filmmaker_id: nm0000243
[2024-12-27T17:05:16.780+0000] {extract.py:151} INFO - movie iteration 8 and filmamker iteration 6 for movie_id : tt9218128 and filmmaker_id: nm0050959
[2024-12-27T17:05:35.878+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 0 for movie_id : tt29137778 and filmmaker_id: nm1351912
[2024-12-27T17:05:53.944+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 1 for movie_id : tt29137778 and filmmaker_id: nm3220108
[2024-12-27T17:06:19.546+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 2 for movie_id : tt29137778 and filmmaker_id: nm4137576
[2024-12-27T17:06:37.302+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 3 for movie_id : tt29137778 and filmmaker_id: nm7918285
[2024-12-27T17:06:51.245+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 4 for movie_id : tt29137778 and filmmaker_id: nm1685408
[2024-12-27T17:07:09.056+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 5 for movie_id : tt29137778 and filmmaker_id: nm0568180
[2024-12-27T17:07:31.114+0000] {extract.py:151} INFO - movie iteration 9 and filmamker iteration 6 for movie_id : tt29137778 and filmmaker_id: nm0592874
[2024-12-27T17:07:48.525+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 0 for movie_id : tt8790086 and filmmaker_id: nm1170855
[2024-12-27T17:08:07.150+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 1 for movie_id : tt8790086 and filmmaker_id: nm0921013
[2024-12-27T17:08:45.473+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 2 for movie_id : tt8790086 and filmmaker_id: nm1436466
[2024-12-27T17:09:02.538+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 3 for movie_id : tt8790086 and filmmaker_id: nm0391344
[2024-12-27T17:09:21.621+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 4 for movie_id : tt8790086 and filmmaker_id: nm1093951
[2024-12-27T17:09:47.905+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 5 for movie_id : tt8790086 and filmmaker_id: nm3663196
[2024-12-27T17:10:09.868+0000] {extract.py:151} INFO - movie iteration 10 and filmamker iteration 6 for movie_id : tt8790086 and filmmaker_id: nm9538520
[2024-12-27T17:10:26.082+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 0 for movie_id : tt14948432 and filmmaker_id: nm0440458
[2024-12-27T17:10:48.647+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 1 for movie_id : tt14948432 and filmmaker_id: nm0604555
[2024-12-27T17:11:09.847+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 2 for movie_id : tt14948432 and filmmaker_id: nm1205652
[2024-12-27T17:11:44.039+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 3 for movie_id : tt14948432 and filmmaker_id: nm0425005
[2024-12-27T17:12:05.891+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 4 for movie_id : tt14948432 and filmmaker_id: nm0262635
[2024-12-27T17:12:27.288+0000] {extract.py:151} INFO - movie iteration 11 and filmamker iteration 5 for movie_id : tt14948432 and filmmaker_id: nm0005154
[2024-12-27T17:12:45.151+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 0 for movie_id : tt2347285 and filmmaker_id: nm0420817
[2024-12-27T17:13:00.501+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 1 for movie_id : tt2347285 and filmmaker_id: nm0732393
[2024-12-27T17:13:12.810+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 2 for movie_id : tt2347285 and filmmaker_id: nm1480232
[2024-12-27T17:13:38.124+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 3 for movie_id : tt2347285 and filmmaker_id: nm3056833
[2024-12-27T17:13:50.620+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 4 for movie_id : tt2347285 and filmmaker_id: nm14398475
[2024-12-27T17:14:07.961+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 5 for movie_id : tt2347285 and filmmaker_id: nm8407821
[2024-12-27T17:14:21.439+0000] {extract.py:151} INFO - movie iteration 12 and filmamker iteration 6 for movie_id : tt2347285 and filmmaker_id: nm0339460
[2024-12-27T17:14:44.237+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 0 for movie_id : tt14824600 and filmmaker_id: nm0436784
[2024-12-27T17:15:03.463+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 1 for movie_id : tt14824600 and filmmaker_id: nm2731620
[2024-12-27T17:15:18.498+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 2 for movie_id : tt14824600 and filmmaker_id: nm2176993
[2024-12-27T17:15:40.390+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 3 for movie_id : tt14824600 and filmmaker_id: nm3907831
[2024-12-27T17:15:54.821+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 4 for movie_id : tt14824600 and filmmaker_id: nm0004051
[2024-12-27T17:16:14.307+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 5 for movie_id : tt14824600 and filmmaker_id: nm3230329
[2024-12-27T17:16:28.640+0000] {extract.py:151} INFO - movie iteration 13 and filmamker iteration 6 for movie_id : tt14824600 and filmmaker_id: nm0001584
[2024-12-27T17:16:46.699+0000] {extract.py:151} INFO - movie iteration 14 and filmamker iteration 0 for movie_id : tt8999762 and filmmaker_id: nm1227232
[2024-12-27T17:17:03.454+0000] {extract.py:151} INFO - movie iteration 14 and filmamker iteration 1 for movie_id : tt8999762 and filmmaker_id: nm1227232
[2024-12-27T17:17:16.850+0000] {extract.py:151} INFO - movie iteration 14 and filmamker iteration 2 for movie_id : tt8999762 and filmmaker_id: nm2178754
[2024-12-27T17:17:29.666+0000] {extract.py:151} INFO - movie iteration 14 and filmamker iteration 3 for movie_id : tt8999762 and filmmaker_id: nm0004778
[2024-12-27T17:17:49.606+0000] {extract.py:151} INFO - movie iteration 14 and filmamker iteration 4 for movie_id : tt8999762 and filmmaker_id: nm0428065
