[2025-01-16T05:41:53.649+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T05:41:53.729+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:53.755+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:53.756+0000] {taskinstance.py:2866} INFO - Starting attempt 4 of 4
[2025-01-16T05:41:53.789+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_collection_page> on 2025-01-16 04:38:13.822674+00:00
[2025-01-16T05:41:53.833+0000] {standard_task_runner.py:72} INFO - Started process 218 to run task
[2025-01-16T05:41:53.841+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_collection_page', 'manual__2025-01-16T04:38:13.822674+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpzga6qprw']
[2025-01-16T05:41:53.853+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask parse_collection_page
[2025-01-16T05:41:54.248+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [running]> on host 2c0258667391
[2025-01-16T05:41:55.031+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_collection_page' AIRFLOW_CTX_EXECUTION_DATE='2025-01-16T04:38:13.822674+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-16T04:38:13.822674+00:00'
[2025-01-16T05:41:55.036+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-16T05:41:55.551+0000] {parse.py:70} INFO - Row number: 0 in collection page
[2025-01-16T05:41:55.557+0000] {parse.py:70} INFO - Row number: 1 in collection page
[2025-01-16T05:41:55.564+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 1
[2025-01-16T05:41:55.568+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 1
[2025-01-16T05:41:55.570+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 1
[2025-01-16T05:41:55.572+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 1
[2025-01-16T05:41:55.575+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 1
[2025-01-16T05:41:55.576+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 1
[2025-01-16T05:41:55.578+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 1
[2025-01-16T05:41:55.579+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 1
[2025-01-16T05:41:55.584+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 1
[2025-01-16T05:41:55.586+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 1
[2025-01-16T05:41:55.588+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 1
[2025-01-16T05:41:55.591+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 1
[2025-01-16T05:41:55.592+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 1
[2025-01-16T05:41:55.594+0000] {parse.py:70} INFO - Row number: 2 in collection page
[2025-01-16T05:41:55.595+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 2
[2025-01-16T05:41:55.602+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 2
[2025-01-16T05:41:55.604+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 2
[2025-01-16T05:41:55.606+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 2
[2025-01-16T05:41:55.608+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 2
[2025-01-16T05:41:55.609+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 2
[2025-01-16T05:41:55.611+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 2
[2025-01-16T05:41:55.613+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 2
[2025-01-16T05:41:55.617+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 2
[2025-01-16T05:41:55.619+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 2
[2025-01-16T05:41:55.620+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 2
[2025-01-16T05:41:55.624+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 2
[2025-01-16T05:41:55.625+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 2
[2025-01-16T05:41:55.627+0000] {parse.py:70} INFO - Row number: 3 in collection page
[2025-01-16T05:41:55.628+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 3
[2025-01-16T05:41:55.633+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 3
[2025-01-16T05:41:55.635+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 3
[2025-01-16T05:41:55.636+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 3
[2025-01-16T05:41:55.640+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 3
[2025-01-16T05:41:55.642+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 3
[2025-01-16T05:41:55.644+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 3
[2025-01-16T05:41:55.645+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 3
[2025-01-16T05:41:55.668+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 3
[2025-01-16T05:41:55.675+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 3
[2025-01-16T05:41:55.681+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 3
[2025-01-16T05:41:55.720+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 3
[2025-01-16T05:41:55.751+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 3
[2025-01-16T05:41:55.767+0000] {parse.py:70} INFO - Row number: 4 in collection page
[2025-01-16T05:41:55.777+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 4
[2025-01-16T05:41:55.780+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 4
[2025-01-16T05:41:55.784+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 4
[2025-01-16T05:41:55.786+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 4
[2025-01-16T05:41:55.788+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 4
[2025-01-16T05:41:55.791+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 4
[2025-01-16T05:41:55.794+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 4
[2025-01-16T05:41:55.795+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 4
[2025-01-16T05:41:55.808+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 4
[2025-01-16T05:41:55.816+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 4
[2025-01-16T05:41:55.819+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 4
[2025-01-16T05:41:55.822+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 4
[2025-01-16T05:41:55.824+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 4
[2025-01-16T05:41:55.826+0000] {parse.py:70} INFO - Row number: 5 in collection page
[2025-01-16T05:41:55.827+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 5
[2025-01-16T05:41:55.829+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 5
[2025-01-16T05:41:55.831+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 5
[2025-01-16T05:41:55.834+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 5
[2025-01-16T05:41:55.836+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 5
[2025-01-16T05:41:55.840+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 5
[2025-01-16T05:41:55.842+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 5
[2025-01-16T05:41:55.844+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 5
[2025-01-16T05:41:55.845+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 5
[2025-01-16T05:41:55.850+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 5
[2025-01-16T05:41:55.852+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 5
[2025-01-16T05:41:55.854+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 5
[2025-01-16T05:41:55.857+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 5
[2025-01-16T05:41:55.860+0000] {parse.py:70} INFO - Row number: 6 in collection page
[2025-01-16T05:41:55.862+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 6
[2025-01-16T05:41:55.873+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 6
[2025-01-16T05:41:55.876+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 6
[2025-01-16T05:41:55.878+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 6
[2025-01-16T05:41:55.884+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 6
[2025-01-16T05:41:55.892+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 6
[2025-01-16T05:41:55.901+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 6
[2025-01-16T05:41:55.911+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 6
[2025-01-16T05:41:55.919+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 6
[2025-01-16T05:41:55.925+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 6
