[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.649+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-29T04:23:24.688+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_collection_page> on 2024-12-28 00:00:00+00:00
[2024-12-29T04:23:24.697+0000] {standard_task_runner.py:72} INFO - Started process 345 to run task
[2024-12-29T04:23:24.705+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_collection_page', 'scheduled__2024-12-28T00:00:00+00:00', '--job-id', '105', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpeaapqfu_']
[2024-12-29T04:23:24.709+0000] {standard_task_runner.py:105} INFO - Job 105: Subtask parse_collection_page
[2024-12-29T04:23:24.838+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [running]> on host e0a3add0f1ca
[2024-12-29T04:23:25.083+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_collection_page' AIRFLOW_CTX_EXECUTION_DATE='2024-12-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-28T00:00:00+00:00'
[2024-12-29T04:23:25.086+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-29T04:23:25.222+0000] {parse.py:68} INFO - Row number: 0 in collection page
[2024-12-29T04:23:25.223+0000] {parse.py:68} INFO - Row number: 1 in collection page
[2024-12-29T04:23:25.226+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 1
[2024-12-29T04:23:25.228+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 1
[2024-12-29T04:23:25.230+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 1
[2024-12-29T04:23:25.232+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 1
[2024-12-29T04:23:25.234+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 1
[2024-12-29T04:23:25.235+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 1
[2024-12-29T04:23:25.237+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 1
[2024-12-29T04:23:25.238+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 1
[2024-12-29T04:23:25.240+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 1
[2024-12-29T04:23:25.241+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 1
[2024-12-29T04:23:25.243+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 1
[2024-12-29T04:23:25.244+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 1
[2024-12-29T04:23:25.245+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 1
[2024-12-29T04:23:25.246+0000] {parse.py:68} INFO - Row number: 2 in collection page
[2024-12-29T04:23:25.248+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 2
[2024-12-29T04:23:25.249+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 2
[2024-12-29T04:23:25.251+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 2
[2024-12-29T04:23:25.253+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 2
[2024-12-29T04:23:25.254+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 2
[2024-12-29T04:23:25.256+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 2
[2024-12-29T04:23:25.257+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 2
[2024-12-29T04:23:25.258+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 2
[2024-12-29T04:23:25.260+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 2
[2024-12-29T04:23:25.261+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 2
[2024-12-29T04:23:25.262+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 2
[2024-12-29T04:23:25.264+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 2
[2024-12-29T04:23:25.265+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 2
[2024-12-29T04:23:25.267+0000] {parse.py:68} INFO - Row number: 3 in collection page
[2024-12-29T04:23:25.269+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 3
[2024-12-29T04:23:25.270+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 3
[2024-12-29T04:23:25.272+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 3
[2024-12-29T04:23:25.273+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 3
[2024-12-29T04:23:25.275+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 3
[2024-12-29T04:23:25.276+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 3
[2024-12-29T04:23:25.278+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 3
