[2025-01-09T12:28:14.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-09T12:28:14.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.036+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-01-09T12:28:15.121+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_collection_page> on 2025-01-08 00:00:00+00:00
[2025-01-09T12:28:15.134+0000] {standard_task_runner.py:72} INFO - Started process 344 to run task
[2025-01-09T12:28:15.156+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_collection_page', 'scheduled__2025-01-08T00:00:00+00:00', '--job-id', '138', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpicm0m3ki']
[2025-01-09T12:28:15.178+0000] {standard_task_runner.py:105} INFO - Job 138: Subtask parse_collection_page
[2025-01-09T12:28:15.432+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [running]> on host 78b847e880a5
[2025-01-09T12:28:16.129+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_collection_page' AIRFLOW_CTX_EXECUTION_DATE='2025-01-08T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-08T00:00:00+00:00'
[2025-01-09T12:28:16.136+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-09T12:28:16.333+0000] {parse.py:68} INFO - Row number: 0 in collection page
[2025-01-09T12:28:16.337+0000] {parse.py:68} INFO - Row number: 1 in collection page
[2025-01-09T12:28:16.340+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 1
[2025-01-09T12:28:16.345+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 1
[2025-01-09T12:28:16.348+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 1
[2025-01-09T12:28:16.351+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 1
[2025-01-09T12:28:16.354+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 1
[2025-01-09T12:28:16.362+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 1
[2025-01-09T12:28:16.363+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 1
[2025-01-09T12:28:16.366+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 1
[2025-01-09T12:28:16.369+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 1
[2025-01-09T12:28:16.372+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 1
[2025-01-09T12:28:16.379+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 1
[2025-01-09T12:28:16.381+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 1
[2025-01-09T12:28:16.383+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 1
[2025-01-09T12:28:16.388+0000] {parse.py:68} INFO - Row number: 2 in collection page
[2025-01-09T12:28:16.390+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 2
[2025-01-09T12:28:16.397+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 2
[2025-01-09T12:28:16.399+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 2
[2025-01-09T12:28:16.403+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 2
[2025-01-09T12:28:16.406+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 2
[2025-01-09T12:28:16.407+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 2
[2025-01-09T12:28:16.415+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 2
[2025-01-09T12:28:16.422+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 2
[2025-01-09T12:28:16.430+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 2
[2025-01-09T12:28:16.433+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 2
[2025-01-09T12:28:16.435+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 2
[2025-01-09T12:28:16.438+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 2
[2025-01-09T12:28:16.440+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 2
[2025-01-09T12:28:16.449+0000] {parse.py:68} INFO - Row number: 3 in collection page
[2025-01-09T12:28:16.457+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 3
[2025-01-09T12:28:16.465+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 3
[2025-01-09T12:28:16.467+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 3
[2025-01-09T12:28:16.480+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 3
[2025-01-09T12:28:16.488+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 3
[2025-01-09T12:28:16.490+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 3
[2025-01-09T12:28:16.495+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 3
[2025-01-09T12:28:16.497+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 3
[2025-01-09T12:28:16.499+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 3
[2025-01-09T12:28:16.501+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 3
[2025-01-09T12:28:16.503+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 3
[2025-01-09T12:28:16.505+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 3
[2025-01-09T12:28:16.507+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 3
[2025-01-09T12:28:16.512+0000] {parse.py:68} INFO - Row number: 4 in collection page
[2025-01-09T12:28:16.515+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 4
[2025-01-09T12:28:16.521+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 4
[2025-01-09T12:28:16.523+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 4
[2025-01-09T12:28:16.541+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 4
[2025-01-09T12:28:16.548+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 4
[2025-01-09T12:28:16.551+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 4
[2025-01-09T12:28:16.554+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 4
[2025-01-09T12:28:16.557+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 4
[2025-01-09T12:28:16.563+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 4
[2025-01-09T12:28:16.566+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 4
[2025-01-09T12:28:16.569+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 4
[2025-01-09T12:28:16.573+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 4
[2025-01-09T12:28:16.579+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 4
[2025-01-09T12:28:16.581+0000] {parse.py:68} INFO - Row number: 5 in collection page
[2025-01-09T12:28:16.584+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 5
[2025-01-09T12:28:16.587+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 5
[2025-01-09T12:28:16.590+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 5
[2025-01-09T12:28:16.596+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 5
[2025-01-09T12:28:16.598+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 5
[2025-01-09T12:28:16.601+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 5
[2025-01-09T12:28:16.605+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 5
[2025-01-09T12:28:16.613+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 5
[2025-01-09T12:28:16.621+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 5
[2025-01-09T12:28:16.627+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 5
[2025-01-09T12:28:16.630+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 5
[2025-01-09T12:28:16.631+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 5
